Time|User|Action|Id|Table|Fields

14/11/2014 08:47:56|admin|add|1|customer|Lý Bình-Chị Nhàn-091 320 6957

14/11/2014 09:28:18|admin|add|1|warehouse|BD - Bến Cát-0-25000

14/11/2014 09:28:30|admin|edit|1|warehouse|BD - Bến Cát1-0-250001

14/11/2014 09:28:38|admin|edit|1|warehouse|BD - Bến Cát-0-25000

14/11/2014 09:54:14|admin|add|1|vehicle|51C - 36529-TRẦN ĐỨC THỊNH-016 473 49199

14/11/2014 09:54:31|admin|edit|1|vehicle|51C - 365291-TRẦN ĐỨC THỊNH1-016 473 491991

14/11/2014 09:54:41|admin|edit|1|vehicle|51C - 36529-TRẦN ĐỨC THỊNH-016 473 49199

15/11/2014 10:47:00|admin|add|2|warehouse|BD - Bình Dương-0-25000

15/11/2014 11:31:06|admin|add|1|road|1-2-20-0.5-3.5-3-35000-200000-3000000

15/11/2014 11:34:45|admin|edit|1|road|--201-0.51-41-0-0-0-0

15/11/2014 11:36:32|admin|edit|1|road|20-0.5-4-0-0-0-0

17/11/2014 11:34:44|admin|edit|1|road|3.8-0.5-10-0-0-0-0

17/11/2014 15:11:00|admin|add|1|shipment|1-2-1-1-29-30000-0-1416298260-1-870000-1572200--702200

17/11/2014 17:24:36|admin|edit|1|shipment|1-2-1-1-29-300000--1416306276-1-1-8700000-1572200-7127800

17/11/2014 17:27:08|admin|edit|1|shipment|1-2-1-1-29-200000-0-1416306428-1-1-5800000-1572200-4227800

17/11/2014 17:38:34|admin|add|2|road|31.32-1-54-1-30000-200000-0-2-1

17/11/2014 17:42:29|admin|delete|2|road|

17/11/2014 17:42:50|admin|delete|1|shipment|

17/11/2014 17:50:32|admin|add|3|road|5.4-1-10-2-20000-100000-500000-2-1

17/11/2014 17:57:27|admin|edit|3|road|5.4-1.5-10-2-20000-100000-500000

17/11/2014 17:57:38|admin|edit|3|road|5.8-1.5-10-1-20000-100000-500000

17/11/2014 20:58:41|admin|add|1|shipment|2-1-1-1-29-50000-0-1416319121-1-1-1450000-5230200--3780200

17/11/2014 21:04:15|admin|add|2|shipment|2-1-1-1-30-40000-50000-1416319455-2-1-1200000-5230200--4030200

17/11/2014 21:50:39|admin|add|3|shipment|1-2-1-1-0-0-0-1416322239-2-1-0-1572200--1572200

17/11/2014 21:58:13|admin|add|2|vehicle|51C - 36537-PHẠM ĐẶNG QUỐC VIỆT-016 854 52068

17/11/2014 21:58:28|admin|edit|2|shipment|2-1-2-1-30-40000--1416322708-2-1-1200000-5230200--4030200

17/11/2014 21:59:01|admin|edit|2|shipment|2-1-2-2-30-40000--1416322741-1-1-1200000-5230200--4030200

17/11/2014 23:28:05|admin|add|4|shipment|2-1-1-1-29-5000000-0-1416328085-2-1-145000000-5230200-139769800

18/11/2014 09:27:34|admin|edit|4|shipment|2-1-1-1-29-500000--1416364054-2-1-14500000-5230200-9269800

18/11/2014 09:28:38|admin|edit|4|shipment|2-1-1-1-29-500000--1416364118-2-1-14500000-5230200-9269800

18/11/2014 09:29:17|admin|edit|4|shipment|2-1-1-1-29-500000--1416364157-2-1-14500000-5230200-9269800

18/11/2014 09:29:58|admin|edit|4|shipment|2-1-1-1-29-500000--1416364198-2-1-14500000-5230200-9269800

18/11/2014 09:31:06|admin|edit|2|shipment|2-1-2-1-30-40000--1416364266-1-1-1200000-5230200--4030200

18/11/2014 09:36:10|admin|edit|2|shipment|2-1-2-1-30-40000--1416364570-1-1-1200000-5230200--4030200

18/11/2014 09:36:40|admin|edit|2|shipment|2-1-2-1-30-40000--1416364600-1-1-1200000-5230200--4030200

18/11/2014 09:37:03|admin|edit|2|shipment|2-1-2-1-30-40000--1416364623-1-1-1200000-5230200--4030200

18/11/2014 09:38:23|admin|edit|2|shipment|2-1-2-1-30-40000--1416364703-1-1-1200000-5230200--4030200

18/11/2014 09:39:24|admin|edit|2|shipment|2-1-2-1-30-40000--1416364764-1-1-1200000-5230200--4030200

18/11/2014 09:39:52|admin|edit|4|shipment|2-1-1-1-29-200000--1416364792-2-1-5800000-5230200-569800

18/11/2014 09:45:54|admin|add|5|shipment|1-2-2-1-0-0-0-1416365154-1-1-0-1572200--1572200

18/11/2014 09:49:29|admin|edit|5|shipment|1-2-2-1-0-0--1416365369-1-1-0-1572200--1572200

18/11/2014 23:59:18|admin|delete|3|vehicle|

19/11/2014 00:34:40|admin|edit|1|customer|Lý Bình-Chị Nhàn-091 320 6957

19/11/2014 09:57:57|admin|add|4|road|243.6-1-420-1-260000-500000-200000-46-13

19/11/2014 10:07:00|admin|add|5|road|24.7-0.1-65-0-10000-0-0-40-46

19/11/2014 10:08:58|admin|add|6|shipment|40-46-4-10-0-0-0-19000-1416452938-1-1-0-979300--979300

19/11/2014 10:11:27|admin|edit|46|warehouse|BD - Cám CP-0-10000

19/11/2014 10:13:13|admin|add|7|shipment|46-13-4-10-29-610000-0-19000-1416453193-1-1-17690000-8878400-8811600

19/11/2014 10:49:39|admin|edit|6|shipment|40-46-4-10-0-0--19000-1416455379-1-1-0-779300--779300

19/11/2014 10:49:42|admin|edit|7|shipment|46-13-4-10-29-610000--19000-1416455382-1-1-17690000-8878400-8811600

19/11/2014 10:51:01|admin|add|6|road|17.1-0.1-45-0-160000-0-0-40-30

19/11/2014 10:52:00|admin|add|7|road|377-1.5-650-1-430000-800000-250000-30-48

19/11/2014 10:52:39|admin|add|8|shipment|40-30-4-4-0-0-0-19000-1416455559-2-1-0-784900--784900

19/11/2014 10:53:16|admin|add|9|shipment|30-48-4-4-29-600000-0-19000-1416455596-2-1-17400000-14158000-3242000

19/11/2014 11:12:36|admin|edit|9|shipment|30-48-4-4-30-600000--19000-1416456756-2-1-18000000-14193000-3807000

19/11/2014 13:43:13|admin|add|8|road|1.52-3-4-0-0-0-0-2-3

19/11/2014 13:44:30|admin|edit|8|road|16.72-3-44-0-0-0-0

19/11/2014 13:47:38|admin|delete|8|road|

19/11/2014 13:47:54|admin|add|9|road|0.38-1-1-0-1-0-0-2-4

19/11/2014 13:50:36|admin|delete|9|road|

19/11/2014 13:50:48|admin|edit|9|road|0.38-1-1-0-1-0-0

19/11/2014 13:51:28|admin|add|10|road|0.38-1-1-0-1-0-0-1-17

19/11/2014 13:53:12|admin|delete|10|road|

19/11/2014 13:54:00|admin|add|11|road|0.38-1-1-0-0-0-0-1-5

19/11/2014 13:54:04|admin|delete|8|road|

19/11/2014 16:57:29|admin|edit|9|shipment|30-48-4-4-30-600000--19000-1416438000-2-1-18000000-14193000-3807000

19/11/2014 17:16:25|admin|delete|1|road|

19/11/2014 17:16:25|admin|delete|3|road|

19/11/2014 17:19:53|admin|delete|1|shipment|

19/11/2014 17:19:53|admin|delete|3|shipment|

19/11/2014 17:19:53|admin|delete|4|shipment|

19/11/2014 17:19:53|admin|delete|2|shipment|

19/11/2014 17:19:53|admin|delete|5|shipment|

19/11/2014 17:19:54|admin|delete|6|shipment|

19/11/2014 17:19:54|admin|delete|7|shipment|

19/11/2014 17:19:54|admin|delete|8|shipment|

19/11/2014 17:19:54|admin|delete|9|shipment|

19/11/2014 23:48:36|admin|add|1|shipment|40-46-1-1-0-0-0-19000-1416438000-1-1-0-779300--779300

19/11/2014 23:49:29|admin|add|2|shipment|46-13-1-1-30-610000-0-19000-1416438000-1-1-18300000-8896000-9404000

20/11/2014 09:02:16|admin|add|3|shipment|40-30-2-4-0-0-0-19000-1416524400-1-1-0-783000--783000

20/11/2014 09:03:01|admin|add|4|shipment|30-48-2-4-29-600000-0-19000-1416524400-1-1-17400000-14158000-3242000

20/11/2014 11:18:32|admin|edit|4|shipment|30-48-2-4-29-600000-0--19000-1416524400-1-1-17400000-14158000-3242000

20/11/2014 11:18:46|admin|edit|4|shipment|30-48-2-4-29-600000-0-1-19000-1416524400-1-1-17400000-14158001-3241999

20/11/2014 11:18:57|admin|edit|4|shipment|30-48-2-4-29-600000-0-0-19000-1416524400-1-1-17400000-14158000-3242000

20/11/2014 11:32:52|admin|edit|4|shipment|30-48-2-4-29-600000-0-0-20000-1416524400-1-1-17400000-14535000-2865000

20/11/2014 11:33:05|admin|edit|4|shipment|30-48-2-4-29-600000-0-0-19000-1416524400-1-1-17400000-14158000-3242000

20/11/2014 16:29:12|admin|edit|1|shipment|40-46-1-1-0-0-0-100000-19000-1416524400-1-1-0-779300--779300

20/11/2014 16:47:40|admin|edit|3|shipment|40-30-2-4-0-0-0-200000-19000-1416524400-1-1-0-783000--783000

20/11/2014 16:48:23|admin|edit|3|shipment|40-30-2-4-0-0-0-0-19000-1416524400-1-1-0-783000--783000

20/11/2014 16:48:40|admin|edit|2|shipment|46-13-1-1-30-610000-0-0-19000-1416524400-1-1-18300000-8896000-9404000

